n_jobs,ProcessPoolExecutor,ThreadPoolExecutor
1,0.06867747100022825,0.02251499900012277
2,0.07234623699969234,0.033876939000037964
3,0.07342523799979972,0.035042939000049955
4,0.06672423500003788,0.036253250000299886
5,0.07363601599990943,0.03749743800017313
6,0.07384115700006078,0.04091004200017778
7,0.07446085199990193,0.03726565600027243
8,0.0776602420000927,0.03545099399980245
9,0.0840774539992708,0.03791199600073014
10,0.09881344699988404,0.04027661500003887
11,0.08545304000017495,0.040361215000302764
12,0.08927951300029235,0.04067277899957844
13,0.12010690999977669,0.039332035000370524
14,0.10057011099979718,0.0403631340004722
15,0.1015335669999331,0.039988049999919895
16,0.09996592700008478,0.039652202999604924
17,0.10875371800011635,0.040006324000387394
18,0.10790211399944383,0.03981667300013214
19,0.1061670380004216,0.039989492999666254
20,0.10809592399982648,0.040610060000290105
21,0.11434136000025319,0.04517115999988164
22,0.1191502080000646,0.05198602200016467
23,0.14242488899981254,0.04929805099982332
24,0.13483005499983847,0.04635288999998011
